word,pinyin,english,level,language
爱,ài,to love,HSK1,Chinese - Simplified
八,bā,eight,HSK1,Chinese - Simplified
爸爸,bà ba,(informal) father,HSK1,Chinese - Simplified
杯子,bēi zi,cup,HSK1,Chinese - Simplified
北京,Běi jīng,Beijing,HSK1,Chinese - Simplified
本,běn,roots or stems of plants,HSK1,Chinese - Simplified
不客气,bù kè qi,you're welcome,HSK1,Chinese - Simplified
不,bù,(negative prefix),HSK1,Chinese - Simplified
菜,cài,dish (type of food),HSK1,Chinese - Simplified
茶,chá,tea,HSK1,Chinese - Simplified
吃,chī,to eat,HSK1,Chinese - Simplified
出租车,chū zū chē,taxi,HSK1,Chinese - Simplified
打电话,dǎ diàn huà,to make a telephone call,HSK1,Chinese - Simplified
大,dà,big,HSK1,Chinese - Simplified
的,de,of,HSK1,Chinese - Simplified
点,diǎn,point,HSK1,Chinese - Simplified
电脑,diàn nǎo,computer,HSK1,Chinese - Simplified
电视,diàn shì,television,HSK1,Chinese - Simplified
电影,diàn yǐng,movie,HSK1,Chinese - Simplified
东西,dōng xi,thing,HSK1,Chinese - Simplified
都,dōu,all,HSK1,Chinese - Simplified
读,dú,to read,HSK1,Chinese - Simplified
对不起,duì bu qǐ,unworthy,HSK1,Chinese - Simplified
多,duō,many,HSK1,Chinese - Simplified
多少,duō shao,how much,HSK1,Chinese - Simplified
儿子,ér zi,son,HSK1,Chinese - Simplified
二,èr,two,HSK1,Chinese - Simplified
饭馆,fàn guǎn,restaurant,HSK1,Chinese - Simplified
飞机,fēi jī,airplane,HSK1,Chinese - Simplified
分钟,fēn zhōng,minute,HSK1,Chinese - Simplified
高兴,gāo xìng,happy,HSK1,Chinese - Simplified
个,gè,variant of 個|个[gè],HSK1,Chinese - Simplified
工作,gōng zuò,to work,HSK1,Chinese - Simplified
狗,gǒu,dog,HSK1,Chinese - Simplified
汉语,Hàn yǔ,Chinese language,HSK1,Chinese - Simplified
好,hǎo,good,HSK1,Chinese - Simplified
喝,hē,to drink,HSK1,Chinese - Simplified
和,hé,and,HSK1,Chinese - Simplified
很,hěn,(adverb of degree),HSK1,Chinese - Simplified
后面,hòu mian,rear,HSK1,Chinese - Simplified
回,huí,to curve,HSK1,Chinese - Simplified
会,huì,can,HSK1,Chinese - Simplified
火车站,huǒ chē zhàn,train station,HSK1,Chinese - Simplified
几,jǐ,how much,HSK1,Chinese - Simplified
家,jiā,home,HSK1,Chinese - Simplified
叫,jiào,to shout,HSK1,Chinese - Simplified
今天,jīn tiān,today,HSK1,Chinese - Simplified
九,jiǔ,nine,HSK1,Chinese - Simplified
开,kāi,to open,HSK1,Chinese - Simplified
看,kàn,to see,HSK1,Chinese - Simplified
看见,kàn jiàn,to see,HSK1,Chinese - Simplified
块,kuài,lump (of earth),HSK1,Chinese - Simplified
来,lái,to come,HSK1,Chinese - Simplified
老师,lǎo shī,teacher,HSK1,Chinese - Simplified
了,le,(modal particle intensifying preceding clause),HSK1,Chinese - Simplified
冷,lěng,cold,HSK1,Chinese - Simplified
里,lǐ,li (Chinese mile),HSK1,Chinese - Simplified
零,líng,zero,HSK1,Chinese - Simplified
六,liù,six,HSK1,Chinese - Simplified
妈妈,mā ma,mama,HSK1,Chinese - Simplified
吗,ma,(question tag),HSK1,Chinese - Simplified
买,mǎi,to buy,HSK1,Chinese - Simplified
猫,māo,cat,HSK1,Chinese - Simplified
没,méi,(negative prefix for verbs),HSK1,Chinese - Simplified
没关系,méi guān xi,it doesn't matter,HSK1,Chinese - Simplified
米饭,mǐ fàn,(cooked) rice,HSK1,Chinese - Simplified
明天,míng tiān,tomorrow,HSK1,Chinese - Simplified
名字,míng zi,name (of a person or thing),HSK1,Chinese - Simplified
哪,nǎ,how,HSK1,Chinese - Simplified
那,nà,that,HSK1,Chinese - Simplified
呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?""",HSK1,Chinese - Simplified
能,néng,to be able to,HSK1,Chinese - Simplified
你,nǐ,you (informal,HSK1,Chinese - Simplified
年,nián,year,HSK1,Chinese - Simplified
女儿,nǚ ér,daughter,HSK1,Chinese - Simplified
朋友,péng you,friend,HSK1,Chinese - Simplified
漂亮,piào liang,pretty,HSK1,Chinese - Simplified
苹果,píng guǒ,apple,HSK1,Chinese - Simplified
七,qī,seven,HSK1,Chinese - Simplified
钱,qián,coin,HSK1,Chinese - Simplified
前面,qián miàn,ahead,HSK1,Chinese - Simplified
请,qǐng,to ask,HSK1,Chinese - Simplified
去,qù,to go,HSK1,Chinese - Simplified
热,rè,to warm up,HSK1,Chinese - Simplified
人,rén,man,HSK1,Chinese - Simplified
认识,rèn shi,to know,HSK1,Chinese - Simplified
日,rì,sun,HSK1,Chinese - Simplified
三,sān,three,HSK1,Chinese - Simplified
商店,shāng diàn,store,HSK1,Chinese - Simplified
上,shàng,on top,HSK1,Chinese - Simplified
上午,shàng wǔ,morning,HSK1,Chinese - Simplified
少,shǎo,few,HSK1,Chinese - Simplified
谁,shéi,who,HSK1,Chinese - Simplified
什么,shén me,what?,HSK1,Chinese - Simplified
十,shí,ten,HSK1,Chinese - Simplified
时候,shí hou,time,HSK1,Chinese - Simplified
是,shì,is,HSK1,Chinese - Simplified
书,shū,book,HSK1,Chinese - Simplified
水,shuǐ,water,HSK1,Chinese - Simplified
水果,shuǐ guǒ,fruit,HSK1,Chinese - Simplified
睡觉,shuì jiào,to go to bed,HSK1,Chinese - Simplified
说话,shuō huà,to speak,HSK1,Chinese - Simplified
四,sì,four,HSK1,Chinese - Simplified
岁,suì,classifier for years (of age),HSK1,Chinese - Simplified
他,tā,he or him,HSK1,Chinese - Simplified
她,tā,she,HSK1,Chinese - Simplified
太,tài,highest,HSK1,Chinese - Simplified
