word,pinyin,english,level,language
爱,ài,to love,HSK1,1
八,bā,eight,HSK1,1
爸爸,bà ba,(informal) father,HSK1,1
杯子,bēi zi,cup,HSK1,1
北京,Běi jīng,Beijing,HSK1,1
本,běn,roots or stems of plants,HSK1,1
不客气,bù kè qi,you're welcome,HSK1,1
不,bù,(negative prefix),HSK1,1
菜,cài,dish (type of food),HSK1,1
茶,chá,tea,HSK1,1
吃,chī,to eat,HSK1,1
出租车,chū zū chē,taxi,HSK1,1
打电话,dǎ diàn huà,to make a telephone call,HSK1,1
大,dà,big,HSK1,1
的,de,of,HSK1,1
点,diǎn,point,HSK1,1
电脑,diàn nǎo,computer,HSK1,1
电视,diàn shì,television,HSK1,1
电影,diàn yǐng,movie,HSK1,1
东西,dōng xi,thing,HSK1,1
都,dōu,all,HSK1,1
读,dú,to read,HSK1,1
对不起,duì bu qǐ,unworthy,HSK1,1
多,duō,many,HSK1,1
多少,duō shao,how much,HSK1,1
儿子,ér zi,son,HSK1,1
二,èr,two,HSK1,1
饭馆,fàn guǎn,restaurant,HSK1,1
飞机,fēi jī,airplane,HSK1,1
分钟,fēn zhōng,minute,HSK1,1
高兴,gāo xìng,happy,HSK1,1
个,gè,variant of 個|个[gè],HSK1,1
工作,gōng zuò,to work,HSK1,1
狗,gǒu,dog,HSK1,1
汉语,Hàn yǔ,Chinese language,HSK1,1
好,hǎo,good,HSK1,1
喝,hē,to drink,HSK1,1
和,hé,and,HSK1,1
很,hěn,(adverb of degree),HSK1,1
后面,hòu mian,rear,HSK1,1
回,huí,to curve,HSK1,1
会,huì,can,HSK1,1
火车站,huǒ chē zhàn,train station,HSK1,1
几,jǐ,how much,HSK1,1
家,jiā,home,HSK1,1
叫,jiào,to shout,HSK1,1
今天,jīn tiān,today,HSK1,1
九,jiǔ,nine,HSK1,1
开,kāi,to open,HSK1,1
看,kàn,to see,HSK1,1
看见,kàn jiàn,to see,HSK1,1
块,kuài,lump (of earth),HSK1,1
来,lái,to come,HSK1,1
老师,lǎo shī,teacher,HSK1,1
了,le,(modal particle intensifying preceding clause),HSK1,1
冷,lěng,cold,HSK1,1
里,lǐ,li (Chinese mile),HSK1,1
零,líng,zero,HSK1,1
六,liù,six,HSK1,1
妈妈,mā ma,mama,HSK1,1
吗,ma,(question tag),HSK1,1
买,mǎi,to buy,HSK1,1
猫,māo,cat,HSK1,1
没,méi,(negative prefix for verbs),HSK1,1
没关系,méi guān xi,it doesn't matter,HSK1,1
米饭,mǐ fàn,(cooked) rice,HSK1,1
明天,míng tiān,tomorrow,HSK1,1
名字,míng zi,name (of a person or thing),HSK1,1
哪,nǎ,how,HSK1,1
那,nà,that,HSK1,1
呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?""",HSK1,1
能,néng,to be able to,HSK1,1
你,nǐ,you (informal,HSK1,1
年,nián,year,HSK1,1
女儿,nǚ ér,daughter,HSK1,1
朋友,péng you,friend,HSK1,1
漂亮,piào liang,pretty,HSK1,1
苹果,píng guǒ,apple,HSK1,1
七,qī,seven,HSK1,1
钱,qián,coin,HSK1,1
前面,qián miàn,ahead,HSK1,1
请,qǐng,to ask,HSK1,1
去,qù,to go,HSK1,1
热,rè,to warm up,HSK1,1
人,rén,man,HSK1,1
认识,rèn shi,to know,HSK1,1
日,rì,sun,HSK1,1
三,sān,three,HSK1,1
商店,shāng diàn,store,HSK1,1
上,shàng,on top,HSK1,1
上午,shàng wǔ,morning,HSK1,1
少,shǎo,few,HSK1,1
谁,shéi,who,HSK1,1
什么,shén me,what?,HSK1,1
十,shí,ten,HSK1,1
时候,shí hou,time,HSK1,1
是,shì,is,HSK1,1
书,shū,book,HSK1,1
水,shuǐ,water,HSK1,1
水果,shuǐ guǒ,fruit,HSK1,1
睡觉,shuì jiào,to go to bed,HSK1,1
说话,shuō huà,to speak,HSK1,1
四,sì,four,HSK1,1
岁,suì,classifier for years (of age),HSK1,1
他,tā,he or him,HSK1,1
她,tā,she,HSK1,1
太,tài,highest,HSK1,1
天气,tiān qì,weather,HSK1,1
听,tīng,to listen,HSK1,1
同学,tóng xué,to study at the same school,HSK1,1
喂,wèi,to feed,HSK1,1
我,wǒ,I,HSK1,1
我们,wǒ men,we,HSK1,1
五,wǔ,five,HSK1,1
喜欢,xǐ huan,to like,HSK1,1
下,xià,down,HSK1,1
下午,xià wǔ,afternoon,HSK1,1
下雨,xià yǔ,to rain,HSK1,1
先生,xiān sheng,teacher,HSK1,1
现在,xiàn zài,now,HSK1,1
想,xiǎng,to think,HSK1,1
小,xiǎo,small,HSK1,1
小姐,xiǎo jie,young lady,HSK1,1
些,xiē,some,HSK1,1
写,xiě,to write,HSK1,1
谢谢,xiè xie,to thank,HSK1,1
星期,xīng qī,week,HSK1,1
学生,xué sheng,student,HSK1,1
学习,xué xí,to learn,HSK1,1
学校,xué xiào,school,HSK1,1
一,yī,one,HSK1,1
衣服,yī fu,clothes,HSK1,1
医生,yī shēng,doctor,HSK1,1
医院,yī yuàn,hospital,HSK1,1
椅子,yǐ zi,chair,HSK1,1
有,yǒu,to have,HSK1,1
月,yuè,moon,HSK1,1
在,zài,(located) at,HSK1,1
再见,zài jiàn,goodbye,HSK1,1
怎么,zěn me,variant of 怎麼|怎么[zěn me],HSK1,1
怎么样,zěn me yàng,how?,HSK1,1
这,zhè,this,HSK1,1
中国,Zhōng guó,China,HSK1,1
中午,zhōng wǔ,noon,HSK1,1
住,zhù,to live,HSK1,1
桌子,zhuō zi,table,HSK1,1
字,zì,letter,HSK1,1
昨天,zuó tiān,yesterday,HSK1,1
坐,zuò,to sit,HSK1,1
做,zuò,to do,HSK1,1
