word,english,pinyin,level,language
爱,to love,ài,HSK1,1
八,eight,bā,HSK1,1
爸爸,(informal) father,bà ba,HSK1,1
杯子,cup,bēi zi,HSK1,1
北京,Beijing,Běi jīng,HSK1,1
本,roots or stems of plants,běn,HSK1,1
不客气,you're welcome,bù kè qi,HSK1,1
不,(negative prefix),bù,HSK1,1
菜,dish (type of food),cài,HSK1,1
茶,tea,chá,HSK1,1
吃,to eat,chī,HSK1,1
出租车,taxi,chū zū chē,HSK1,1
打电话,to make a telephone call,dǎ diàn huà,HSK1,1
大,big,dà,HSK1,1
的,of,de,HSK1,1
点,point,diǎn,HSK1,1
电脑,computer,diàn nǎo,HSK1,1
电视,television,diàn shì,HSK1,1
电影,movie,diàn yǐng,HSK1,1
东西,thing,dōng xi,HSK1,1
都,all,dōu,HSK1,1
读,to read,dú,HSK1,1
对不起,unworthy,duì bu qǐ,HSK1,1
多,many,duō,HSK1,1
多少,how much,duō shao,HSK1,1
儿子,son,ér zi,HSK1,1
二,two,èr,HSK1,1
饭馆,restaurant,fàn guǎn,HSK1,1
飞机,airplane,fēi jī,HSK1,1
分钟,minute,fēn zhōng,HSK1,1
高兴,happy,gāo xìng,HSK1,1
个,variant of 個|个[gè],gè,HSK1,1
工作,to work,gōng zuò,HSK1,1
狗,dog,gǒu,HSK1,1
汉语,Chinese language,Hàn yǔ,HSK1,1
好,good,hǎo,HSK1,1
喝,to drink,hē,HSK1,1
和,and,hé,HSK1,1
很,(adverb of degree),hěn,HSK1,1
后面,rear,hòu mian,HSK1,1
回,to curve,huí,HSK1,1
会,can,huì,HSK1,1
火车站,train station,huǒ chē zhàn,HSK1,1
几,how much,jǐ,HSK1,1
家,home,jiā,HSK1,1
叫,to shout,jiào,HSK1,1
今天,today,jīn tiān,HSK1,1
九,nine,jiǔ,HSK1,1
开,to open,kāi,HSK1,1
看,to see,kàn,HSK1,1
看见,to see,kàn jiàn,HSK1,1
块,lump (of earth),kuài,HSK1,1
来,to come,lái,HSK1,1
老师,teacher,lǎo shī,HSK1,1
了,(modal particle intensifying preceding clause),le,HSK1,1
冷,cold,lěng,HSK1,1
里,li (Chinese mile),lǐ,HSK1,1
零,zero,líng,HSK1,1
六,six,liù,HSK1,1
妈妈,mama,mā ma,HSK1,1
吗,(question tag),ma,HSK1,1
买,to buy,mǎi,HSK1,1
猫,cat,māo,HSK1,1
没,(negative prefix for verbs),méi,HSK1,1
没关系,it doesn't matter,méi guān xi,HSK1,1
米饭,(cooked) rice,mǐ fàn,HSK1,1
明天,tomorrow,míng tiān,HSK1,1
名字,name (of a person or thing),míng zi,HSK1,1
哪,how,nǎ,HSK1,1
那,that,nà,HSK1,1
呢,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?""",ne,HSK1,1
能,to be able to,néng,HSK1,1
你,you (informal,nǐ,HSK1,1
年,year,nián,HSK1,1
女儿,daughter,nǚ ér,HSK1,1
朋友,friend,péng you,HSK1,1
漂亮,pretty,piào liang,HSK1,1
苹果,apple,píng guǒ,HSK1,1
七,seven,qī,HSK1,1
钱,coin,qián,HSK1,1
前面,ahead,qián miàn,HSK1,1
请,to ask,qǐng,HSK1,1
去,to go,qù,HSK1,1
热,to warm up,rè,HSK1,1
人,man,rén,HSK1,1
认识,to know,rèn shi,HSK1,1
日,sun,rì,HSK1,1
三,three,sān,HSK1,1
商店,store,shāng diàn,HSK1,1
上,on top,shàng,HSK1,1
上午,morning,shàng wǔ,HSK1,1
少,few,shǎo,HSK1,1
谁,who,shéi,HSK1,1
什么,what?,shén me,HSK1,1
十,ten,shí,HSK1,1
时候,time,shí hou,HSK1,1
是,is,shì,HSK1,1
书,book,shū,HSK1,1
水,water,shuǐ,HSK1,1
水果,fruit,shuǐ guǒ,HSK1,1
睡觉,to go to bed,shuì jiào,HSK1,1
说话,to speak,shuō huà,HSK1,1
四,four,sì,HSK1,1
岁,classifier for years (of age),suì,HSK1,1
他,he or him,tā,HSK1,1
她,she,tā,HSK1,1
太,highest,tài,HSK1,1
天气,weather,tiān qì,HSK1,1
听,to listen,tīng,HSK1,1
同学,to study at the same school,tóng xué,HSK1,1
喂,to feed,wèi,HSK1,1
我,I,wǒ,HSK1,1
我们,we,wǒ men,HSK1,1
五,five,wǔ,HSK1,1
喜欢,to like,xǐ huan,HSK1,1
下,down,xià,HSK1,1
下午,afternoon,xià wǔ,HSK1,1
下雨,to rain,xià yǔ,HSK1,1
先生,teacher,xiān sheng,HSK1,1
现在,now,xiàn zài,HSK1,1
想,to think,xiǎng,HSK1,1
小,small,xiǎo,HSK1,1
小姐,young lady,xiǎo jie,HSK1,1
些,some,xiē,HSK1,1
写,to write,xiě,HSK1,1
谢谢,to thank,xiè xie,HSK1,1
星期,week,xīng qī,HSK1,1
学生,student,xué sheng,HSK1,1
学习,to learn,xué xí,HSK1,1
学校,school,xué xiào,HSK1,1
一,one,yī,HSK1,1
衣服,clothes,yī fu,HSK1,1
医生,doctor,yī shēng,HSK1,1
医院,hospital,yī yuàn,HSK1,1
椅子,chair,yǐ zi,HSK1,1
有,to have,yǒu,HSK1,1
月,moon,yuè,HSK1,1
在,(located) at,zài,HSK1,1
再见,goodbye,zài jiàn,HSK1,1
怎么,variant of 怎麼|怎么[zěn me],zěn me,HSK1,1
怎么样,how?,zěn me yàng,HSK1,1
这,this,zhè,HSK1,1
中国,China,Zhōng guó,HSK1,1
中午,noon,zhōng wǔ,HSK1,1
住,to live,zhù,HSK1,1
桌子,table,zhuō zi,HSK1,1
字,letter,zì,HSK1,1
昨天,yesterday,zuó tiān,HSK1,1
坐,to sit,zuò,HSK1,1
做,to do,zuò,HSK1,1
