word,pinyin,english,level,language
爱,ài,to love,HSK1,0
八,bā,eight,HSK1,0
爸爸,bà ba,(informal) father,HSK1,0
杯子,bēi zi,cup,HSK1,0
北京,Běi jīng,Beijing,HSK1,0
本,běn,roots or stems of plants,HSK1,0
不客气,bù kè qi,you're welcome,HSK1,0
不,bù,(negative prefix),HSK1,0
菜,cài,dish (type of food),HSK1,0
茶,chá,tea,HSK1,0
吃,chī,to eat,HSK1,0
出租车,chū zū chē,taxi,HSK1,0
打电话,dǎ diàn huà,to make a telephone call,HSK1,0
大,dà,big,HSK1,0
的,de,of,HSK1,0
点,diǎn,point,HSK1,0
电脑,diàn nǎo,computer,HSK1,0
电视,diàn shì,television,HSK1,0
电影,diàn yǐng,movie,HSK1,0
东西,dōng xi,thing,HSK1,0
都,dōu,all,HSK1,0
读,dú,to read,HSK1,0
对不起,duì bu qǐ,unworthy,HSK1,0
多,duō,many,HSK1,0
多少,duō shao,how much,HSK1,0
儿子,ér zi,son,HSK1,0
二,èr,two,HSK1,0
饭馆,fàn guǎn,restaurant,HSK1,0
飞机,fēi jī,airplane,HSK1,0
分钟,fēn zhōng,minute,HSK1,0
高兴,gāo xìng,happy,HSK1,0
个,gè,variant of 個|个[gè],HSK1,0
工作,gōng zuò,to work,HSK1,0
狗,gǒu,dog,HSK1,0
汉语,Hàn yǔ,Chinese language,HSK1,0
好,hǎo,good,HSK1,0
喝,hē,to drink,HSK1,0
和,hé,and,HSK1,0
很,hěn,(adverb of degree),HSK1,0
后面,hòu mian,rear,HSK1,0
回,huí,to curve,HSK1,0
会,huì,can,HSK1,0
火车站,huǒ chē zhàn,train station,HSK1,0
几,jǐ,how much,HSK1,0
家,jiā,home,HSK1,0
叫,jiào,to shout,HSK1,0
今天,jīn tiān,today,HSK1,0
九,jiǔ,nine,HSK1,0
开,kāi,to open,HSK1,0
看,kàn,to see,HSK1,0
看见,kàn jiàn,to see,HSK1,0
块,kuài,lump (of earth),HSK1,0
来,lái,to come,HSK1,0
老师,lǎo shī,teacher,HSK1,0
了,le,(modal particle intensifying preceding clause),HSK1,0
冷,lěng,cold,HSK1,0
里,lǐ,li (Chinese mile),HSK1,0
零,líng,zero,HSK1,0
六,liù,six,HSK1,0
妈妈,mā ma,mama,HSK1,0
吗,ma,(question tag),HSK1,0
买,mǎi,to buy,HSK1,0
猫,māo,cat,HSK1,0
没,méi,(negative prefix for verbs),HSK1,0
没关系,méi guān xi,it doesn't matter,HSK1,0
米饭,mǐ fàn,(cooked) rice,HSK1,0
明天,míng tiān,tomorrow,HSK1,0
名字,míng zi,name (of a person or thing),HSK1,0
哪,nǎ,how,HSK1,0
那,nà,that,HSK1,0
呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?""",HSK1,0
能,néng,to be able to,HSK1,0
你,nǐ,you (informal,HSK1,0
年,nián,year,HSK1,0
女儿,nǚ ér,daughter,HSK1,0
朋友,péng you,friend,HSK1,0
漂亮,piào liang,pretty,HSK1,0
苹果,píng guǒ,apple,HSK1,0
七,qī,seven,HSK1,0
钱,qián,coin,HSK1,0
前面,qián miàn,ahead,HSK1,0
请,qǐng,to ask,HSK1,0
去,qù,to go,HSK1,0
热,rè,to warm up,HSK1,0
人,rén,man,HSK1,0
认识,rèn shi,to know,HSK1,0
日,rì,sun,HSK1,0
三,sān,three,HSK1,0
商店,shāng diàn,store,HSK1,0
上,shàng,on top,HSK1,0
上午,shàng wǔ,morning,HSK1,0
少,shǎo,few,HSK1,0
谁,shéi,who,HSK1,0
什么,shén me,what?,HSK1,0
十,shí,ten,HSK1,0
时候,shí hou,time,HSK1,0
是,shì,is,HSK1,0
书,shū,book,HSK1,0
水,shuǐ,water,HSK1,0
水果,shuǐ guǒ,fruit,HSK1,0
睡觉,shuì jiào,to go to bed,HSK1,0
说话,shuō huà,to speak,HSK1,0
四,sì,four,HSK1,0
岁,suì,classifier for years (of age),HSK1,0
他,tā,he or him,HSK1,0
她,tā,she,HSK1,0
太,tài,highest,HSK1,0
天气,tiān qì,weather,HSK1,0
听,tīng,to listen,HSK1,0
同学,tóng xué,to study at the same school,HSK1,0
喂,wèi,to feed,HSK1,0
我,wǒ,I,HSK1,0
我们,wǒ men,we,HSK1,0
五,wǔ,five,HSK1,0
喜欢,xǐ huan,to like,HSK1,0
下,xià,down,HSK1,0
下午,xià wǔ,afternoon,HSK1,0
下雨,xià yǔ,to rain,HSK1,0
先生,xiān sheng,teacher,HSK1,0
现在,xiàn zài,now,HSK1,0
想,xiǎng,to think,HSK1,0
小,xiǎo,small,HSK1,0
小姐,xiǎo jie,young lady,HSK1,0
些,xiē,some,HSK1,0
写,xiě,to write,HSK1,0
谢谢,xiè xie,to thank,HSK1,0
星期,xīng qī,week,HSK1,0
学生,xué sheng,student,HSK1,0
学习,xué xí,to learn,HSK1,0
学校,xué xiào,school,HSK1,0
一,yī,one,HSK1,0
衣服,yī fu,clothes,HSK1,0
医生,yī shēng,doctor,HSK1,0
医院,yī yuàn,hospital,HSK1,0
椅子,yǐ zi,chair,HSK1,0
有,yǒu,to have,HSK1,0
月,yuè,moon,HSK1,0
在,zài,(located) at,HSK1,0
再见,zài jiàn,goodbye,HSK1,0
怎么,zěn me,variant of 怎麼|怎么[zěn me],HSK1,0
怎么样,zěn me yàng,how?,HSK1,0
这,zhè,this,HSK1,0
中国,Zhōng guó,China,HSK1,0
中午,zhōng wǔ,noon,HSK1,0
住,zhù,to live,HSK1,0
桌子,zhuō zi,table,HSK1,0
字,zì,letter,HSK1,0
昨天,zuó tiān,yesterday,HSK1,0
坐,zuò,to sit,HSK1,0
做,zuò,to do,HSK1,0
