word,english,pinyin,level,language
爱,to love,ài,1,1
八,eight,bā,1,1
爸爸,(informal) father,bà ba,1,1
杯子,cup,bēi zi,1,1
北京,Beijing,Běi jīng,1,1
本,roots or stems of plants,běn,1,1
不客气,you're welcome,bù kè qi,1,1
不,(negative prefix),bù,1,1
菜,dish (type of food),cài,1,1
茶,tea,chá,1,1
吃,to eat,chī,1,1
出租车,taxi,chū zū chē,1,1
打电话,to make a telephone call,dǎ diàn huà,1,1
大,big,dà,1,1
的,of,de,1,1
点,point,diǎn,1,1
电脑,computer,diàn nǎo,1,1
电视,television,diàn shì,1,1
电影,movie,diàn yǐng,1,1
东西,thing,dōng xi,1,1
都,all,dōu,1,1
读,to read,dú,1,1
对不起,unworthy,duì bu qǐ,1,1
多,many,duō,1,1
多少,how much,duō shao,1,1
儿子,son,ér zi,1,1
二,two,èr,1,1
饭馆,restaurant,fàn guǎn,1,1
飞机,airplane,fēi jī,1,1
分钟,minute,fēn zhōng,1,1
高兴,happy,gāo xìng,1,1
个,variant of 個|个[gè],gè,1,1
工作,to work,gōng zuò,1,1
狗,dog,gǒu,1,1
汉语,Chinese language,Hàn yǔ,1,1
好,good,hǎo,1,1
喝,to drink,hē,1,1
和,and,hé,1,1
很,(adverb of degree),hěn,1,1
后面,rear,hòu mian,1,1
回,to curve,huí,1,1
会,can,huì,1,1
火车站,train station,huǒ chē zhàn,1,1
几,how much,jǐ,1,1
家,home,jiā,1,1
叫,to shout,jiào,1,1
今天,today,jīn tiān,1,1
九,nine,jiǔ,1,1
开,to open,kāi,1,1
看,to see,kàn,1,1
看见,to see,kàn jiàn,1,1
块,lump (of earth),kuài,1,1
来,to come,lái,1,1
老师,teacher,lǎo shī,1,1
了,(modal particle intensifying preceding clause),le,1,1
冷,cold,lěng,1,1
里,li (Chinese mile),lǐ,1,1
零,zero,líng,1,1
六,six,liù,1,1
妈妈,mama,mā ma,1,1
吗,(question tag),ma,1,1
买,to buy,mǎi,1,1
猫,cat,māo,1,1
没,(negative prefix for verbs),méi,1,1
没关系,it doesn't matter,méi guān xi,1,1
米饭,(cooked) rice,mǐ fàn,1,1
明天,tomorrow,míng tiān,1,1
名字,name (of a person or thing),míng zi,1,1
哪,how,nǎ,1,1
那,that,nà,1,1
呢,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?""",ne,1,1
能,to be able to,néng,1,1
你,you (informal,nǐ,1,1
年,year,nián,1,1
女儿,daughter,nǚ ér,1,1
朋友,friend,péng you,1,1
漂亮,pretty,piào liang,1,1
苹果,apple,píng guǒ,1,1
七,seven,qī,1,1
钱,coin,qián,1,1
前面,ahead,qián miàn,1,1
请,to ask,qǐng,1,1
去,to go,qù,1,1
热,to warm up,rè,1,1
人,man,rén,1,1
认识,to know,rèn shi,1,1
日,sun,rì,1,1
三,three,sān,1,1
商店,store,shāng diàn,1,1
上,on top,shàng,1,1
上午,morning,shàng wǔ,1,1
少,few,shǎo,1,1
谁,who,shéi,1,1
什么,what?,shén me,1,1
十,ten,shí,1,1
时候,time,shí hou,1,1
是,is,shì,1,1
书,book,shū,1,1
水,water,shuǐ,1,1
水果,fruit,shuǐ guǒ,1,1
睡觉,to go to bed,shuì jiào,1,1
说话,to speak,shuō huà,1,1
四,four,sì,1,1
岁,classifier for years (of age),suì,1,1
他,he or him,tā,1,1
她,she,tā,1,1
太,highest,tài,1,1
天气,weather,tiān qì,1,1
听,to listen,tīng,1,1
同学,to study at the same school,tóng xué,1,1
喂,to feed,wèi,1,1
我,I,wǒ,1,1
我们,we,wǒ men,1,1
五,five,wǔ,1,1
喜欢,to like,xǐ huan,1,1
下,down,xià,1,1
下午,afternoon,xià wǔ,1,1
下雨,to rain,xià yǔ,1,1
先生,teacher,xiān sheng,1,1
现在,now,xiàn zài,1,1
想,to think,xiǎng,1,1
小,small,xiǎo,1,1
小姐,young lady,xiǎo jie,1,1
些,some,xiē,1,1
写,to write,xiě,1,1
谢谢,to thank,xiè xie,1,1
星期,week,xīng qī,1,1
学生,student,xué sheng,1,1
学习,to learn,xué xí,1,1
学校,school,xué xiào,1,1
一,one,yī,1,1
衣服,clothes,yī fu,1,1
医生,doctor,yī shēng,1,1
医院,hospital,yī yuàn,1,1
椅子,chair,yǐ zi,1,1
有,to have,yǒu,1,1
月,moon,yuè,1,1
在,(located) at,zài,1,1
再见,goodbye,zài jiàn,1,1
怎么,variant of 怎麼|怎么[zěn me],zěn me,1,1
怎么样,how?,zěn me yàng,1,1
这,this,zhè,1,1
中国,China,Zhōng guó,1,1
中午,noon,zhōng wǔ,1,1
住,to live,zhù,1,1
桌子,table,zhuō zi,1,1
字,letter,zì,1,1
昨天,yesterday,zuó tiān,1,1
坐,to sit,zuò,1,1
做,to do,zuò,1,1
